"","Order","Family","Genus","Species_reported","Growth_form","Distribution","Microhabitat","Dispersal_period","Dispersal_syndrome","Embryoless","Viable","Dry_mass","Water_content","Dormancy","Species_acceptedLCVP"
"193","Fabales","Fabaceae","Chamaecrista","Chamaecrista desvauxii var. malacophylla","Herb","Restricted","Mesic","ER","Autochory",NA,NA,3.13,NA,"D","Chamaecrista_desvauxii"
"194","Fabales","Fabaceae","Chamaecrista","Chamaecrista desvauxii var. mollissima","Herb","Widespread","Mesic/Xeric","LR","Autochory",NA,NA,4.16,NA,"D","Chamaecrista_desvauxii"
"195","Fabales","Fabaceae","Chamaecrista","Chamaecrista choriophylla var. latifolia","Herb","Restricted","Mesic/Xeric","LD","Autochory",NA,NA,21.75,NA,"D","Chamaecrista_latifolia"
"196","Fabales","Fabaceae","Chamaecrista","Chamaecrista desvauxii var. latistipula","Herb","Widespread","Mesic","LR","Autochory",NA,NA,6.88,NA,"D","Chamaecrista_desvauxii"
"197","Fabales","Fabaceae","Chamaecrista","Chamaecrista mucronata","Herb","Widespread","Xeric","ER","Autochory",NA,NA,9.4,NA,"D","Chamaecrista_mucronata"
"198","Fabales","Fabaceae","Chamaecrista","Chamaecrista cipoana","Shrub","Widespread","Xeric","LD","Autochory",NA,NA,20.58,NA,"D","Chamaecrista_cipoana"
"199","Fabales","Fabaceae","Chamaecrista","Chamaecrista ochnacea var. purpurascens","Herb","Widespread","Xeric","LR","Autochory",NA,NA,15.87,NA,"D","Chamaecrista_ochnacea"
"200","Fabales","Fabaceae","Chamaecrista","Chamaecrista ramosa var. parvifoliola","Shrub","Widespread","Xeric","LR","Autochory",NA,NA,4.78,NA,"D","Chamaecrista_ramosa"
"201","Fabales","Fabaceae","Chamaecrista","Chamaecrista rotundifolia","Herb","Widespread","Xeric","LR","Autochory",NA,NA,2.24,NA,"D","Chamaecrista_rotundifolia"
"202","Fabales","Fabaceae","Chamaecrista","Chamaecrista semaphora","Shrub","Restricted","Xeric","LD","Autochory",NA,NA,14.38,NA,"D","Chamaecrista_semaphora"
"203","Fabales","Fabaceae","Chamaecrista","Chamaecrista venulosa","Herb","Restricted","Mesic/Xeric",NA,"Autochory",NA,NA,5.18,NA,"D","Chamaecrista_venulosa"
"204","Caryophyllales","Cactaceae","Melocactus","Melocactus ernestii subsp. ernestii","Succulent","Restricted","Xeric",NA,"Zoochory",NA,NA,NA,NA,"ND","Melocactus_ernestii"
"205","Poales","Eriocaulaceae","Paepalanthus","Paepalanthus chiquitensis","Herb","Widespread","Mesic/Xeric","LD","Anemochory",1.8,NA,NA,NA,"ND","Paepalanthus_chiquitensis"
"206","Poales","Bromeliaceae","Pitcairnia","Pitcairnia encholirioides","Herb","Restricted","Xeric",NA,"Anemochory",NA,NA,NA,13.5,"ND","Pitcairnia_encholirioides"
"207","Poales","Eriocaulaceae","Actinocephalus","Paepalanthus geniculatus","Herb","Widespread","Xeric",NA,"Anemochory",NA,NA,NA,NA,"ND","Actinocephalus_geniculatus"
