"Species_reported","Species_acceptedLCVP"
"Peperomia sp.","NA_NA"
"Axonopus carajasensis","Axonopus_siccus"
"Axonopus longispicus","Axonopus_longispicus"
"Paspalum cangarum","Paspalum_canarae"
"Paspalum cinerascens","Paspalum_cinerascens"
"Sporobolus multiramosus","Sporobolus_multiramosus"
"Trachypogon spicatus","Trachypogon_spicatus"
"Borreria carajasensis","Spermacoce_carajasensis"
"Borreria elaiosulcata","Spermacoce_elaiosulcata"
"Carajasia cangae","Carajasia_cangae"
"Mitracarpus carajasensis","Mitracarpus_carajasensis"
"Pilocarpus microphyllus","Pilocarpus_microphyllus"
"Xyris brachysepala","Xyris_brachysepala"
"Vellozia goiasensis","Vellozia_goiasensis"
"Vellozia squamata","Vellozia_squamata"
"Pleroma cardinale","Tibouchina_cardinalis"
"Cambessedesia regnelliana","Cambessedesia_regnelliana"
"Microlicia inquinans","Microlicia_inquinans"
"Svitramia hatschbachii","Svitramia_hatschbachii"
"Svitramia minor","Svitramia_minor"
"Svitramia sp.","NA_NA"
"Bauhinia pentandra","Bauhinia_pentandra"
"Pavonia viscosa","Pavonia_viscosa"
"Solanum lycocarpum","Solanum_lycocarpum"
"Eragrostis polytricha","Eragrostis_polytricha"
"Cattleya crispata","Cattleya_crispata"
