Species_acceptedLCVP,Growth_form,Distribution,Microhabitat,Mass
Syngonanthus_gracilis,Herb,Restricted,Xeric,0.012
Syngonanthus_nitens,Herb,Widespread,Mesic,0.024
Syngonanthus_verticillatus,Herb,Widespread,Mesic,0.014
Tibouchina_cardinalis,Shrub,Widespread,Xeric,0.0264125
Tibouchina_echinata,Shrub,Widespread,Xeric,0.02
Tibouchina_edmundoi,Shrub,Widespread,Xeric,0.007
Tibouchina_foveolata,Shrub,Widespread,Xeric,0.04
Tibouchina_heteromalla,Shrub,Widespread,Mesic/Xeric,0.0213875
Tibouchina_hospita,Shrub,Widespread,Xeric,0.04
Tibouchina_itatiaiae,Shrub,Widespread,Xeric,0.04
Tibouchina_martiusiana,Shrub,Restricted,Xeric,8.00E-04
Tibouchina_riedeliana,Shrub,Widespread,Xeric,0.081
Tibouchina_semidecandra,Shrub,Widespread,Mesic/Xeric,0.06
Trachypogon_spicatus,Herb,Widespread,Mesic/Xeric,1.063
Trembleya_laniflora,Shrub,Restricted,Xeric,0.02525
Trembleya_parviflora,Shrub,Widespread,Xeric,0.019
Trixis_glaziouvii,Herb,Widespread,Xeric,1.12
Utricularia_neottioides,Herb,Widespread,Mesic,0.00325
Utricularia_physoceras,Herb,Restricted,Mesic/Xeric,0.00375
Vellozia_alata,Shrub,Restricted,Xeric,3.76
Vellozia_albiflora,Herb,Restricted,Xeric,0.73
Vellozia_aloifolia,Shrub,Restricted,Xeric,1.21
Vellozia_alutacea,Herb,Widespread,Mesic/Xeric,0.2175
Vellozia_caruncularis,Herb,Restricted,Xeric,0.16
Vellozia_ciliata,Herb,Restricted,Xeric,0.55
Vellozia_compacta,Shrub,Restricted,Xeric,0.2
Vellozia_gigantea,Shrub,Restricted,Xeric,0.415
Vellozia_glabra,Shrub,Restricted,Xeric,0.66
Vellozia_glandulifera,Herb,Restricted,Xeric,0.49
Vellozia_glauca,Shrub,Widespread,Xeric,0.9525
