Species_acceptedLCVP,Growth_form,Distribution,Microhabitat,Dispersal_syndrome
Lippia_hermannioides,Shrub,Widespread,Xeric,Autochory
Lippia_lupulina,Shrub,Widespread,Xeric,Autochory
Lippia_origanoides,Shrub,Widespread,Xeric,Autochory
Lippia_rosella,Shrub,Widespread,Mesic/Xeric,Autochory
Lippia_rotundifolia,Shrub,Widespread,Xeric,Autochory
Bauhinia_pulchella,Shrub,Widespread,Mesic/Xeric,Autochory
Mimosa_acutistipula,Shrub,Widespread,Xeric,Autochory
Mimosa_camporum,Herb,Widespread,Mesic/Xeric,Autochory
Mimosa_pudica,Shrub,Widespread,Mesic,Autochory
Lavoisiera_francavillana,Shrub,Widespread,Mesic,Autochory
Kielmeyera_regalis,Shrub,Widespread,Xeric,Anemochory
Paliavana_sericiflora,Shrub,Restricted,Xeric,Zoochory
Sinningia_allagophylla,Herb,Widespread,Mesic/Xeric,Anemochory
Sinningia_rupicola,Herb,Widespread,Xeric,Anemochory
Chaetostoma_armatum,Shrub,Widespread,Xeric,Autochory
Clidemia_urceolata,Shrub,Widespread,Mesic/Xeric,Zoochory
Trembleya_laniflora,Shrub,Restricted,Xeric,Autochory
Miconia_pepericarpa,Shrub,Widespread,Mesic/Xeric,Zoochory
Miconia_angelana,Shrub,Widespread,Mesic,Zoochory
Comanthera_nivea,Herb,Restricted,Mesic/Xeric,Anemochory
Marcetia_taxifolia,Shrub,Widespread,Xeric,Autochory
Calliandra_fasciculata,Shrub,Widespread,Mesic,Autochory
Diplusodon_hirsutus,Shrub,Widespread,Xeric,Anemochory
Diplusodon_orbicularis,Shrub,Restricted,Mesic,Anemochory
Acisanthera_alsinefolia,Shrub,Widespread,Mesic,Autochory
Acisanthera_quadrata,Shrub,Widespread,Xeric,Autochory
Clidemia_capitellata,Shrub,Widespread,Xeric,Zoochory
Fritzschia_sertularia,Shrub,Widespread,Xeric,Autochory
Comolia_sessilis,Shrub,Widespread,Xeric,Autochory
Lavoisiera_caryophyllea,Shrub,Widespread,Mesic,Autochory
Lavoisiera_confertiflora,Shrub,NA,Xeric,Autochory
Lavoisiera_crassifolia,Shrub,Widespread,Xeric,Autochory
Lavoisiera_imbricata,Shrub,Widespread,Mesic,Autochory
Lavoisiera_pulcherrima,Shrub,Restricted,Mesic,Autochory
Lavoisiera_subulata,Shrub,Widespread,Mesic,Autochory
Leandra_aurea,Shrub,Widespread,Mesic,Zoochory
Leandra_coriacea,Shrub,Restricted,Xeric,Zoochory
Lithobium_cordatum,Shrub,Restricted,Xeric,Autochory
Macairea_radula,Shrub,Restricted,Xeric,Autochory
Miconia_albicans,Shrub,Widespread,Xeric,Zoochory
